Success	2026-09-22 12:49:20,906 - distributed.nanny - INFO -         Start Nanny at: 'tcp://172.31.4.204:39001'
2026-09-22 12:49:21,351 - distributed.worker - INFO -       Start worker at:   tcp://172.31.4.204:42749
2026-09-22 12:49:21,351 - distributed.worker - INFO -          Listening to:   tcp://172.31.4.204:42749
2026-09-22 12:49:21,351 - distributed.worker - INFO -          dashboard at:         172.31.4.204:34579
2026-09-22 12:49:21,351 - distributed.worker - INFO - Waiting to connect to:    tcp://172.31.10.63:8786
2026-09-22 12:49:21,351 - distributed.worker - INFO - -------------------------------------------------
2026-09-22 12:49:21,351 - distributed.worker - INFO -               Threads:                          1
2026-09-22 12:49:21,351 - distributed.worker - INFO -                Memory:                 733.51 MiB
2026-09-22 12:49:21,351 - distributed.worker - INFO -       Local Directory: /tmp/dask-scratch-space/worker-21gezuro
2026-09-22 12:49:21,351 - distributed.worker - INFO - -------------------------------------------------
2026-09-22 12:49:21,369 - distributed.worker - INFO - Starting Worker plugin shuffle
2026-09-22 12:49:21,369 - distributed.worker - INFO -         Registered to:    tcp://172.31.10.63:8786
2026-09-22 12:49:21,369 - distributed.worker - INFO - -------------------------------------------------
2026-09-22 12:49:21,370 - distributed.core - INFO - Starting established connection to tcp://172.31.10.63:8786
WORKER_UP

